"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#ЗдравоТаравари
Дали третирате домашни миленици...?
На комшијата козата му се пораѓа, па...",FALSE,0,NA,2017-06-22 11:02:22,FALSE,NA,"877844202914062336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","syfer11",0,FALSE,FALSE,NA,NA
"2","@evilblonddemon #ЗдравоТаравари дали може дебели да идеме на одмор во Струга?",FALSE,1,"evilblonddemon",2017-06-22 10:59:03,FALSE,"877822555263967232","877843368004505600","1527403968","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dRskata1",0,FALSE,FALSE,NA,NA
"3","@darkhour_seeker #ЗдравоТаравари одма разрешување за оваа",FALSE,7,"darkhour_seeker",2017-06-22 09:56:45,FALSE,"877827485450334208","877827689997975554","3310891366","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wolf_forest_228",0,FALSE,FALSE,NA,NA
"4","#ЗдравоТаравари поради твојата неажурност го прескокнав појадокот. Дали да ручам седмица сега?",FALSE,4,NA,2017-06-22 09:35:00,FALSE,NA,"877822216330543105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dRskata1",3,FALSE,FALSE,NA,NA
"5","#ЗдравоТаравари дали да јадам бурек со месо или баничка со сирење за појадок?",FALSE,9,NA,2017-06-22 08:37:31,FALSE,NA,"877807750004310017",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dRskata1",5,FALSE,FALSE,NA,NA
"6","#ЗдравоТаравари, дојдовме од Водовод да ви ја исклучиме водата",FALSE,2,NA,2017-06-22 08:32:24,FALSE,NA,"877806465486127104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rebrendiran",0,FALSE,FALSE,NA,NA
"7","#ЗдравоТаравари Јас мирно спиев, а ти дали мирно спиеше? #ПрашањаШтоМеМачат",FALSE,6,NA,2017-06-22 07:46:55,FALSE,NA,"877795018072838144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","malinche_malina",3,FALSE,FALSE,NA,NA
"8","Чаре за шилци во пета #ЗдравоТаравари",FALSE,2,NA,2017-06-22 06:05:47,FALSE,NA,"877769565991829505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SiaWonderland",0,FALSE,FALSE,NA,NA
"9","#ДоброУтро #ЗдравоТаравари,  всички добре?",FALSE,1,NA,2017-06-22 05:41:52,FALSE,NA,"877763547090046976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","macedonia_life",0,FALSE,FALSE,NA,NA
"10","#ЗдравоТаравари го гледам оној #БлгарофилотЗаеВ и цревата ми се превртуваат и стомак ме врти.",FALSE,0,NA,2017-06-22 05:35:03,FALSE,NA,"877761830617137152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neznajko1",0,FALSE,FALSE,NA,NA
